Cluster result,Known labels
1,Afghanistan
2,Albania
1,Algeria
1,Angola
1,Australia
1,Bangladesh
1,Belgium
1,Benin
1,Bhutan
1,Bolivia
1,Bosnia and Herzegovina
1,Botswana
1,Brazil
1,Bulgaria
1,Burkina Faso
1,Burma
1,Burundi
1,Cambodia
1,Cameroon
1,Chad
0,China
1,Congo
1,Cuba
1,Czech Republic
1,Democratic Republic of the Congo
1,Egypt
1,Egypt/Eritrean
0,Eritrea
1,Ethiopia
1,"Ethiopia, Eritrea (claimed)"
1,France
1,Gambia
1,Georgia
1,Ghana
1,Grenada
1,Guatemala
1,Guinea
1,Guinea / Portugal
1,Hungary
1,India
1,Indonesia
1,Iran
1,Iraq
1,Israel
1,Ivory Coast
1,Jamaica
1,Kenya
1,Kosovo
1,Kuwait
1,Kyrgyzstan
1,Latvia
1,Lebanon
1,Libya
1,Lithuania
1,Malawi
1,Malaysia
1,Maldives
1,Mali
1,Mauritania
1,Mongolia
1,Morocco
1,Namibia
1,Nepal
1,Netherlands
1,Netherlands Antilles
1,New Zealand
1,Nicaragua
0,Nigeria
1,North Korea
1,Pakistan
1,Palestine
1,Philippines
0,Poland
1,Portugal
0,Romania
1,Senegal
1,Serbia
1,Serbia/Kosovo
1,Seychelles
1,Sierra Leone
0,Slovakia
1,Somalia
1,South Africa
1,South Korea
1,Spain
1,Sri Lanka
1,St Kitts & Nevis
1,St Lucia
0,Sudan
1,Swaziland
1,Syria
1,Tajikistan
1,Tanzania
1,Thailand
1,Timor - Leste
1,Trinidad & Tobago
1,Tunisia
1,Turkey
1,Uganda
1,Ukraine
0,United Kingdom
1,United Kingdom/Vietnam
1,USA
2,Vietnam
1,Yemen
1,Zambia
1,Zimbabwe