Country Name,Referals in 2015,Suspended,Withdrawn,Reasonable Grounds Decision Not Made,Negative Reasonable Grounds Decision,Positive Reasonable Grounds Decision,Suspended.1,Withdrawn.1,Conclusive Decision Not Yet Made,Negative Conclusive Decision,Positive Conclusive Decision,GDP per Capita 2015,Proportion of seats held by women in national parliaments (%),"Unemployment, female (% of female labor force)"
Afghanistan,48,2,0,1,18,27,2,0,15,8,2,1934.193634,27.7,14
Albania,600,2,2,20,36,540,3,0,329,145,63,11305.41742,20.7,14.80000019
Algeria,3,0,0,0,2,1,0,0,1,0,0,14687.39021,31.6,16.79999924
Angola,17,0,0,1,2,14,0,0,5,6,3,7371.027656,36.8,7.300000191
Australia,1,0,0,0,0,1,0,0,1,0,0,45514.17583,26.7,5.900000095
Bangladesh,44,0,0,1,6,37,0,1,29,6,1,3332.803445,20,5
Belgium,1,0,0,0,1,0,0,0,0,0,0,43991.62289,39.3,8.399999619
Benin,2,0,0,0,1,1,0,0,1,0,0,2109.845957,7.2,1
Bhutan,1,0,0,0,0,1,0,0,1,0,0,8076.956876,8.5,3.400000095
Bolivia,2,0,0,0,2,0,0,0,0,0,0,6880.903359,53.1,3.299999952
Bosnia and Herzegovina,1,0,0,0,0,1,0,0,0,1,0,10509.65142,21.4,29.79999924
Botswana,4,0,0,0,1,3,0,0,3,0,0,15807.08572,9.5,21.5
Brazil,2,0,0,0,0,2,0,0,2,0,0,15359.3263,9.9,8.699999809
Bulgaria,44,1,0,0,4,39,0,1,0,7,31,17511.76411,20.4,10.89999962
Burkina Faso,1,0,0,0,0,1,0,0,1,0,0,1659.220243,9.4,2.299999952
Burundi,2,0,0,0,0,2,0,0,2,0,0,736.0118339,36.4,7.5
Cambodia,1,0,0,0,0,1,0,0,1,0,0,3483.326713,20.3,0.400000006
Cameroon,18,0,0,0,4,14,1,0,8,4,1,3122.643965,31.1,5.099999905
Chad,1,0,0,0,0,1,0,0,1,0,0,2171.400812,14.9,7.5
China,99,2,0,4,14,79,2,1,53,20,3,14238.66934,23.6,3.900000095
Czech Republic,43,0,1,0,4,38,0,0,0,6,32,32167.05784,20,7.599999905
Ethiopia,60,0,0,4,5,51,1,0,29,7,14,1625.613262,38.8,7.800000191
France,1,0,0,0,0,1,1,0,0,0,0,39677.99212,26.2,9.699999809
Georgia,2,0,0,0,0,2,0,0,0,2,0,9679.187611,11.3,12.30000019
Ghana,35,0,0,2,6,27,1,1,18,6,1,4200.547102,10.9,2.400000095
Guatemala,1,0,0,0,0,1,0,0,1,0,0,7706.738719,13.9,3
Guinea,9,0,0,1,2,6,0,0,4,2,0,1206.529509,21.9,1.600000024
Hungary,34,0,8,0,2,24,0,0,1,3,20,25581.50351,10.1,7.800000191
India,71,0,3,2,13,53,3,1,43,5,1,6088.64983,12,4
Indonesia,4,0,1,0,0,3,0,0,2,1,0,11035.09244,17.1,7.199999809
Iraq,15,0,0,1,8,6,0,0,4,2,0,14894.81115,26.5,24.10000038
Israel,1,0,1,0,0,0,0,0,0,0,0,35431.60897,26.7,6.300000191
Jamaica,8,0,0,2,1,5,0,0,2,2,1,9062.516068,12.7,17.29999924
Kenya,14,0,0,1,1,12,0,0,7,4,1,3082.517991,19.7,10.60000038
Kuwait,1,0,0,0,0,1,0,0,0,1,0,71311.99355,1.5,2.400000095
Latvia,13,0,0,0,5,8,0,0,1,3,4,24286.14896,18,9.300000191
Lebanon,1,0,0,0,0,1,0,0,0,1,0,13937.94587,3.1,11
Libya,4,0,0,1,1,2,0,0,2,0,0,14154.25826,16,28.10000038
Lithuania,46,0,2,0,5,39,0,1,0,7,31,27729.75102,23.4,10.19999981
Malawi,12,0,0,0,1,11,0,0,8,3,0,1182.622571,16.7,9
Malaysia,6,0,0,2,1,3,0,0,3,0,0,26891.44323,10.4,2.200000048
Maldives,1,0,0,0,0,1,0,0,0,0,1,12636.52353,5.9,18.39999962
Mali,2,0,0,0,2,0,0,0,0,0,0,2428.289964,8.8,11.19999981
Mongolia,1,0,0,0,0,1,0,0,1,0,0,12188.59458,14.5,4.800000191
Morocco,8,0,0,1,0,7,0,2,2,1,2,7821.396498,17,10.89999962
Namibia,5,0,0,0,2,3,0,0,1,1,1,10413.97647,41.3,20
Nepal,5,0,0,0,0,5,0,0,0,1,4,2458.132729,29.5,2.599999905
Netherlands,4,0,0,0,0,4,0,0,0,1,3,48458.94049,37.3,6.599999905
New Zealand,1,0,0,0,0,1,0,0,1,0,0,36982.29857,31.4,6.300000191
Nicaragua,1,0,0,1,0,0,0,0,0,0,0,5189.732999,41.3,5.300000191
Nigeria,257,3,0,9,29,216,0,0,145,45,26,5991.69054,5.6,7.300000191
Pakistan,56,0,0,1,16,39,0,0,23,11,5,5041.715264,20.6,9.300000191
Philippines,28,0,0,0,2,26,0,1,18,5,2,7358.824146,27.2,7
Poland,160,0,6,0,14,140,0,0,3,13,124,26135.32283,27.4,9.899999619
Portugal,9,0,3,1,1,4,0,0,0,2,2,29214.31586,34.8,14.39999962
Romania,192,4,21,0,45,122,2,0,7,17,96,21403.08115,13.7,6.300000191
Senegal,2,0,0,0,0,2,0,0,1,1,0,2430.798929,42.7,12.89999962
Serbia,1,0,0,0,1,0,0,0,0,0,0,13481.93656,34,25.89999962
Sierra Leone,20,0,0,2,2,16,0,0,11,2,3,1590.602119,12.4,2.200000048
South Africa,7,0,0,2,0,5,0,0,4,0,1,13165.14802,42,27.60000038
Spain,5,0,0,0,1,4,0,0,0,1,3,34526.5019,41.1,26
Sri Lanka,18,0,0,1,7,10,0,0,8,2,0,11738.87635,4.9,7
Sudan,83,0,1,1,10,71,0,6,19,4,42,4173.215898,30.5,21.60000038
Swaziland,3,0,0,0,0,3,0,0,1,0,2,8426.529663,6.2,25.5
Tajikistan,1,0,0,0,0,1,0,0,0,0,1,2779.876143,19,9.899999619
Tanzania,2,0,0,0,0,2,0,0,2,0,0,2667.290661,36,4.099999905
Thailand,16,0,1,0,1,14,0,0,10,2,2,16305.45456,6.1,0.899999976
Tunisia,1,0,0,0,0,1,0,0,0,1,0,11397.23515,31.3,15.80000019
Turkey,6,0,0,0,4,2,0,0,2,0,0,19618.22471,14.9,10.69999981
Uganda,26,0,0,0,2,24,0,0,14,5,5,1825.307071,35,4.599999905
Ukraine,2,0,0,0,1,1,1,0,0,0,0,7915.870874,12.1,6.5
United Kingdom,191,0,1,0,13,177,1,2,4,13,157,41324.55633,29.4,5.800000191
Vietnam,478,25,2,20,77,354,59,8,183,52,52,6022.622554,24.3,2.5
Zambia,4,0,0,0,0,4,0,0,2,2,0,3852.658974,12.7,11.5
Zimbabwe,17,0,0,0,2,15,0,0,11,2,2,1793.586092,31.5,5.400000095